Name,Price,Category,Question,Answer,Company,PriceQ,PriceA,CompanyQ,CompanyA
Snickers,200,Chocolate,What is Snickers?,"Snickers bars are a combination of smooth nougat, chewy caramel, roasted peanuts, and milk chocolate",Mars,What is the price of Snickers?,The price of Snickers is 200rs,Who is the manufacturer of Snickers?,The manufacturer of Snickers is Mars
Dairy Milk,50,Chocolate,What is Dairy Milk?,"Dairy milk is a milk chocolate produced by Cadbury, known for its smooth, creamy texture",Mondelez,What is the price of Dairy Milk?,The price of Dairy Milk is 50rs,Who is the manufacturer of Dairy Milk?,The manufacturer of Dairy Milk is Mondelez
Capstan,15,Cigarette,What is Capstan?,"A Capstan cigarette is a British brand of cigarettes, currently owned by Imperial Brands",PTC,What is the price of Capstan?,The price of Capstan is 15rs,Who is the manufacturer of Capstan?,The manufacturer of Capstan is PTC
Gold Leaf,15,Cigarette,What is Gold Leaf?,"A Gold Leaf cigarette is a specific brand of cigarette, most notably John Player Gold Leaf, popular in countries like Pakistan, Bangladesh, and others in South Asia and the Persian Gulf",PTC,What is the price of Gold Leaf?,The price of Gold Leaf is 15rs,Who is the manufacturer of Gold Leaf?,The manufacturer of Gold Leaf is PTC
Gold Flake,15,Cigarette,What is Gold Flake?,"Gold Flake is a brand of cigarettes produced by ITC, a company in India",PTC,What is the price of Gold Flake?,The price of Gold Flake is 15rs,Who is the manufacturer of Gold Flake?,The manufacturer of Gold Flake is PTC
Dunhill,15,Cigarette,What is Dunhill?,Dunhill is a British cigarette brand owned and manufactured by Alfred Dunhill Limited and British American Tobacco,BAT,What is the price of Dunhill?,The price of Dunhill is 15rs,Who is the manufacturer of Dunhill?,The manufacturer of Dunhill is BAT
Morven Gold,15,Cigarette,What is Morven Gold?,Morven Gold is a brand of cigarette,PTC,What is the price of Morven Gold?,The price of Morven Gold is 15rs,Who is the manufacturer of Morven Gold?,The manufacturer of Morven Gold is PTC
John Player,15,Cigarette,What is John Player?,"John Player is a brand of cigarettes, originally founded in Nottingham, England, with a long history in the tobacco industry",BAT,What is the price of John Player?,The price of John Player is 15rs,Who is the manufacturer of John Player?,The manufacturer of John Player is BAT
Marlobolo Crafted,15,Cigarette,What is Marlobolo Crafted?,"Marlboro Crafted is a specific type of Marlboro cigarette, often a more affordable, regionally-produced version",Marlboro,What is the price of Marlobolo Crafted?,The price of Marlobolo Crafted is 15rs,Who is the manufacturer of Marlobolo Crafted?,The manufacturer of Marlobolo Crafted is Marlboro
Pine,15,Cigarette,What is Pine?,"Pine Lights American Taste delivers a light, smooth smoking experience",Local,What is the price of Pine?,The price of Pine is 15rs,Who is the manufacturer of Pine?,The manufacturer of Pine is Local
Dot,150,Condom,What is Dot?,Dot is a condom,Local,What is the price of Dot?,The price of Dot is 150rs,Who is the manufacturer of Dot?,The manufacturer of Dot is Local
Josh,150,Condom,What is Josh?,"Josh is a brand of condoms, manufactured in Pakistan and distributed internationally by DKT International",Durex,What is the price of Josh?,The price of Josh is 150rs,Who is the manufacturer of Josh?,The manufacturer of Josh is Durex
Durex,150,Condom,What is Durex?,Durex is a Condomondom,Reckitt,What is the price of Durex?,The price of Durex is 150rs,Who is the manufacturer of Durex?,The manufacturer of Durex is Reckitt
Sathi,150,Condom,What is Sathi?,Sathi is a condom,Local,What is the price of Sathi?,The price of Sathi is 150rs,Who is the manufacturer of Sathi?,The manufacturer of Sathi is Local
Blueband,80,Cream,What is Blueband?,"Blue Band is a brand of plant-based margarine and spreads made from vegetable oils, known for its use in breakfasts and cooking",Upfield,What is the price of Blueband?,The price of Blueband is 80rs,Who is the manufacturer of Blueband?,The manufacturer of Blueband is Upfield
Olpers Cream,220,Cream,What is Olpers Cream?,"Olpers Cream is a thick, creamy, and versatile UHT (ultra-high temperature processed) dairy cream made from 100% milk",Engro Foods,What is the price of Olpers Cream?,The price of Olpers Cream is 220rs,Who is the manufacturer of Olpers Cream?,The manufacturer of Olpers Cream is Engro Foods
Milkpak Cream,220,Cream,What is Milkpak Cream?,"Milkpak cream is a versatile dairy cream brand from Nestlé in Pakistan, used in both sweet and savory dishes to add richness and a creamy texture",Nestle,What is the price of Milkpak Cream?,The price of Milkpak Cream is 220rs,Who is the manufacturer of Milkpak Cream?,The manufacturer of Milkpak Cream is Nestle
Nurpur Cream,220,Cream,What is Nurpur Cream?,Nurpur cream is a rich and thick dairy cream produced by Fauji Foods Limited in Pakistan,Fauji Foods,What is the price of Nurpur Cream?,The price of Nurpur Cream is 220rs,Who is the manufacturer of Nurpur Cream?,The manufacturer of Nurpur Cream is Fauji Foods
Jelly Banana,60,Custard Jelly,What is Jelly Banana?,"Jelly banana by National is a sweet, banana-flavored jelly",CandyLand,What is the price of Jelly Banana?,The price of Jelly Banana is 60rs,Who is the manufacturer of Jelly Banana?,The manufacturer of Jelly Banana is CandyLand
Jelly Mixed Fruit,60,Custard Jelly,What is Jelly Mixed Fruit?,National Mixed Fruit Jelly is a quick dessert mix from the brand National Foods that features a blend of sweet and tangy mixed fruit flavors,CandyLand,What is the price of Jelly Mixed Fruit?,The price of Jelly Mixed Fruit is 60rs,Who is the manufacturer of Jelly Mixed Fruit?,The manufacturer of Jelly Mixed Fruit is CandyLand
Sunlight,40,Detergent,What is Sunlight?,Sunlight dishwashing liquid is formulated to cut through tough grease and burnt-on food,Unilever,What is the price of Sunlight?,The price of Sunlight is 40rs,Who is the manufacturer of Sunlight?,The manufacturer of Sunlight is Unilever
Bonus,40,Detergent,What is Bonus?,"Bonus is a brand of detergent powder, primarily sold in Pakistan, that aims to provide an effective and fragrant clean",Colgate-Palmolive,What is the price of Bonus?,The price of Bonus is 40rs,Who is the manufacturer of Bonus?,The manufacturer of Bonus is Colgate-Palmolive
Ariel,40,Detergent,What is Ariel?,"Ariel detergent is a brand of laundry detergent owned by Procter & Gamble that is designed to remove tough stains and clean clothes effectively, both in automatic washing machines and by hand",P&G,What is the price of Ariel?,The price of Ariel is 40rs,Who is the manufacturer of Ariel?,The manufacturer of Ariel is P&G
Surf Excel,40,Detergent,What is Surf Excel?,Surf Excel is a laundry detergent used to clean clothes,Unilever,What is the price of Surf Excel?,The price of Surf Excel is 40rs,Who is the manufacturer of Surf Excel?,The manufacturer of Surf Excel is Unilever
Brite,40,Detergent,What is Brite?,"Brite is a detergent designed to remove tough stains, brighten whites, and keep colors vibrant",Colgate-Palmolive,What is the price of Brite?,The price of Brite is 40rs,Who is the manufacturer of Brite?,The manufacturer of Brite is Colgate-Palmolive
Pampers,50,Diaper,What is Pampers?,"Pampers is a brand of baby care products, most notably disposable diapers and wipes",P&G,What is the price of Pampers?,The price of Pampers is 50rs,Who is the manufacturer of Pampers?,The manufacturer of Pampers is P&G
Bona Papa,50,Diaper,What is Bona Papa?,"Bona Papa is a leading Pakistani brand of baby hygiene products, including diapers, pants, and wipes",Local,What is the price of Bona Papa?,The price of Bona Papa is 50rs,Who is the manufacturer of Bona Papa?,The manufacturer of Bona Papa is Local
Canbebe,50,Diaper,What is Canbebe?,Canbebe is a brand of baby diapers and hygiene products ,Ontex,What is the price of Canbebe?,The price of Canbebe is 50rs,Who is the manufacturer of Canbebe?,The manufacturer of Canbebe is Ontex
Royal Ozone,50,Diaper,What is Royal Ozone?,"Royal Ozone is a brand name for a line of baby products, primarily diapers and baby wipes",Local,What is the price of Royal Ozone?,The price of Royal Ozone is 50rs,Who is the manufacturer of Royal Ozone?,The manufacturer of Royal Ozone is Local
Gastril,5,Digestion Pill,What is Gastril?,"Gastril is a medication used to treat acidity, heartburn, and stomach ulcers",PharmEvo,What is the price of Gastril?,The price of Gastril is 5rs,Who is the manufacturer of Gastril?,The manufacturer of Gastril is PharmEvo
Vermicelli,100,Food Packet,What is Vermicelli?,,Kolson,What is the price of Vermicelli?,The price of Vermicelli is 100rs,Who is the manufacturer of Vermicelli?,The manufacturer of Vermicelli is Kolson
Quorma,160,Food Packet,What is Quorma?,,Shan Foods,What is the price of Quorma?,The price of Quorma is 160rs,Who is the manufacturer of Quorma?,The manufacturer of Quorma is Shan Foods
Biryani,160,Food Packet,What is Biryani?,,Shan Foods,What is the price of Biryani?,The price of Biryani is 160rs,Who is the manufacturer of Biryani?,The manufacturer of Biryani is Shan Foods
Coriander,100,Food Packet,What is Coriander?,,Shan Foods,What is the price of Coriander?,The price of Coriander is 100rs,Who is the manufacturer of Coriander?,The manufacturer of Coriander is Shan Foods
Kasuri Methi,100,Food Packet,What is Kasuri Methi?,,Shan,What is the price of Kasuri Methi?,The price of Kasuri Methi is 100rs,Who is the manufacturer of Kasuri Methi?,The manufacturer of Kasuri Methi is Shan
Garam Masala,100,Food Packet,What is Garam Masala?,,Shan,What is the price of Garam Masala?,The price of Garam Masala is 100rs,Who is the manufacturer of Garam Masala?,The manufacturer of Garam Masala is Shan
Bombay Biryani,160,Food Packet,What is Bombay Biryani?,,Shan Foods,What is the price of Bombay Biryani?,The price of Bombay Biryani is 160rs,Who is the manufacturer of Bombay Biryani?,The manufacturer of Bombay Biryani is Shan Foods
Eggs,30,General,What is Eggs?,"A chicken egg is an oval object laid by a female chicken, or hen, which can be either fertilized or unfertilized. It consists of a hard, protective shell, an inner white (albumen), and a yellow yolk, and serves as a rich source of protein and other nutrients",Commodity,What is the price of Eggs?,The price of Eggs is 30rs,Who is the manufacturer of Eggs?,The manufacturer of Eggs is Commodity
Rice,100,General,What is Rice?,,Commodity,What is the price of Rice?,The price of Rice is 100rs,Who is the manufacturer of Rice?,The manufacturer of Rice is Commodity
Sugar,100,General,What is Sugar?,,Commodity,What is the price of Sugar?,The price of Sugar is 100rs,Who is the manufacturer of Sugar?,The manufacturer of Sugar is Commodity
Flour,100,General,What is Flour?,,Commodity,What is the price of Flour?,The price of Flour is 100rs,Who is the manufacturer of Flour?,The manufacturer of Flour is Commodity
Pebbles,10,Jelly,What is Pebbles?,,CandyLand,What is the price of Pebbles?,The price of Pebbles is 10rs,Who is the manufacturer of Pebbles?,The manufacturer of Pebbles is CandyLand
Wobbly,10,Jelly,What is Wobbly?,,CandyLand,What is the price of Wobbly?,The price of Wobbly is 10rs,Who is the manufacturer of Wobbly?,The manufacturer of Wobbly is CandyLand
Peach Jelly,10,Jelly,What is Peach Jelly?,,CandyLand,What is the price of Peach Jelly?,The price of Peach Jelly is 10rs,Who is the manufacturer of Peach Jelly?,The manufacturer of Peach Jelly is CandyLand
Gummy Bear,10,Jelly,What is Gummy Bear?,,CandyLand,What is the price of Gummy Bear?,The price of Gummy Bear is 10rs,Who is the manufacturer of Gummy Bear?,The manufacturer of Gummy Bear is CandyLand
Jelly Fish,10,Jelly,What is Jelly Fish?,,CandyLand,What is the price of Jelly Fish?,The price of Jelly Fish is 10rs,Who is the manufacturer of Jelly Fish?,The manufacturer of Jelly Fish is CandyLand
Jello Bello,10,Jelly,What is Jello Bello?,,CandyLand,What is the price of Jello Bello?,The price of Jello Bello is 10rs,Who is the manufacturer of Jello Bello?,The manufacturer of Jello Bello is CandyLand
Berries,10,Jelly,What is Berries?,,CandyLand,What is the price of Berries?,The price of Berries is 10rs,Who is the manufacturer of Berries?,The manufacturer of Berries is CandyLand
Jelly Strawberry,10,Jelly,What is Jelly Strawberry?,,CandyLand,What is the price of Jelly Strawberry?,The price of Jelly Strawberry is 10rs,Who is the manufacturer of Jelly Strawberry?,The manufacturer of Jelly Strawberry is CandyLand
Amrood Jelly,10,Jelly,What is Amrood Jelly?,,CandyLand,What is the price of Amrood Jelly?,The price of Amrood Jelly is 10rs,Who is the manufacturer of Amrood Jelly?,The manufacturer of Amrood Jelly is CandyLand
Fizzi O,10,Jelly,What is Fizzi O?,,Ismail,What is the price of Fizzi O?,The price of Fizzi O is 10rs,Who is the manufacturer of Fizzi O?,The manufacturer of Fizzi O is Ismail
Anda,10,Jelly,What is Anda?,,Commodity,What is the price of Anda?,The price of Anda is 10rs,Who is the manufacturer of Anda?,The manufacturer of Anda is Commodity
ABC,10,Jelly,What is ABC?,,Local,What is the price of ABC?,The price of ABC is 10rs,Who is the manufacturer of ABC?,The manufacturer of ABC is Local
Chilli Milli,10,Jelly,What is Chilli Milli?,,CandyLand,What is the price of Chilli Milli?,The price of Chilli Milli is 10rs,Who is the manufacturer of Chilli Milli?,The manufacturer of Chilli Milli is CandyLand
Twisto,10,Jelly,What is Twisto?,,Ismail,What is the price of Twisto?,The price of Twisto is 10rs,Who is the manufacturer of Twisto?,The manufacturer of Twisto is Ismail
Polly,60,Juice,What is Polly?,Polly Juice is a brand of fruit juice and juice drinks produced by the Pakistani company,Bisconni,What is the price of Polly?,The price of Polly is 60rs,Who is the manufacturer of Polly?,The manufacturer of Polly is Bisconni
Fruita Vitals Apple,70,Juice,What is Fruita Vitals Apple?,Nestlé Fruita Vitals Apple Juice is a branded line of apple juice and fruit nectar from Nestlé,Nestle,What is the price of Fruita Vitals Apple?,The price of Fruita Vitals Apple is 70rs,Who is the manufacturer of Fruita Vitals Apple?,The manufacturer of Fruita Vitals Apple is Nestle
Fruita Vitals Red Anaar,70,Juice,What is Fruita Vitals Red Anaar?,"Fruita Vitals Red Anaar juice is a pomegranate-flavored fruit nectar made by Nestlé, known for its rich, deep flavor and antioxidant properties",Nestle,What is the price of Fruita Vitals Red Anaar?,The price of Fruita Vitals Red Anaar is 70rs,Who is the manufacturer of Fruita Vitals Red Anaar?,The manufacturer of Fruita Vitals Red Anaar is Nestle
Pakola,80,Juice,What is Pakola?,"Pakola is a brand of Pakistani beverages, known for both its green-colored, ice-cream soda-flavored carbonated soft drink and its range of milk-based and fruit juices",Mehran Bottlers,What is the price of Pakola?,The price of Pakola is 80rs,Who is the manufacturer of Pakola?,The manufacturer of Pakola is Mehran Bottlers
Rani Peach,150,Juice,What is Rani Peach?,"Rani peach juice is a fruit juice drink with real peach chunks or pulp, known for its ""shake, drink, and chew"" experience",Aujan Coca-Cola,What is the price of Rani Peach?,The price of Rani Peach is 150rs,Who is the manufacturer of Rani Peach?,The manufacturer of Rani Peach is Aujan Coca-Cola
Rani Orange,150,Juice,What is Rani Orange?,"Rani orange juice is a brand of fruit-based juice drink known for its signature ""Float"" line, which contains real fruit pieces or chunks in a refreshing juice blend",Aujan Coca-Cola,What is the price of Rani Orange?,The price of Rani Orange is 150rs,Who is the manufacturer of Rani Orange?,The manufacturer of Rani Orange is Aujan Coca-Cola
Nesfruita,60,Juice,What is Nesfruita?,Nesfruta is a brand of fruit-flavored beverages made by Nestlé. Available in flavors like apple and mango,Nestle,What is the price of Nesfruita?,The price of Nesfruita is 60rs,Who is the manufacturer of Nesfruita?,The manufacturer of Nesfruita is Nestle
Slice,60,Juice,What is Slice?,"Slice is a mango-flavored fruit juice, popular in South Asia, made with mango pulp and marketed as a refreshing and tasty drink",PepsiCo,What is the price of Slice?,The price of Slice is 60rs,Who is the manufacturer of Slice?,The manufacturer of Slice is PepsiCo
